"","...1","kingdom","class","family","scientificName","establishmentMeans","organismQuantity","basisOfRecord","Fuente del dato","institutionCode","recordedBy","year","month","day","Nombre de la Localidad","locationRemarks","locality","municipality","county","stateProvince","verbatimLatitude","verbatimLongitude","verbatimElevation","eventRemarks","occurrenceStatus","Estudio","organismQuanityType","eventDate","minimumElevationInMeters","maximumElevationInMeters"
"186",186,"Animalia","Aves","Ardeidae","Ardea alba","","2","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",4,"Embalse Convento Viejo.","Embalse Convento Viejo.","Chimbarongo","Chimbarongo","Colchagua","O'Higgins.","34°45'15""S","71°07'08""W","275","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-04,"275","275"
"187",187,"Animalia","Aves","Ardeidae","Ardea alba","","2","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",4,"Sector Compuertas","Canalón desagüe Embalse Convento Viejo.","Chimbarongo","Chimbarongo","Colchagua","O'Higgins.","34°45'29""S","71°07'55""W","255","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-04,"255","255"
"188",188,"Animalia","Aves","Ardeidae","Ardea alba","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",4,"Lotoro.","Lotoro.","Chimbarongo","Chimbarongo","Colchagua","O'Higgins.","34°45'59""S","71°08'26""W","246","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-04,"246","246"
"189",189,"Animalia","Aves","Ardeidae","Ardea alba","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",4,"Humedal de Putú.","Putú","Putú","Constitución","Talca","Del Maule","35°09'19""S","72°14'48""W","9","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-04,"9","9"
"190",190,"Animalia","Aves","Ardeidae","Ardea alba","","17","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",6,"Humedal Ciénagas del Name.","Humedal Ciénagas del Name.","Cauquenes","Cauquenes","Talca","Del Maule","35°45'5.5""S","71°12'42""W","-","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-06,"-","-"
"191",191,"Animalia","Aves","Ardeidae","Ardea alba","","1","catalejo y binoculares","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros",2012,"12",6,"Carampangue viejo","Potreros de vegas junto a la carretera Lota Concepción.","Carampangue viejo","Arauco","Arauco","Del Biobío","37°07'04""S","73°05'09""W","9","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-06,"9","9"
"192",192,"Animalia","Aves","Ardeidae","Ardea alba","","-","catalejo y binoculares","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros",2012,"12",5,"Laguna Lanalhue","Huedales de Buchoco","Contulmo","Contulmo","Arauco","Del Biobío","37°59'41""S","72°16'00""W","12","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-05,"12","12"
"193",193,"Animalia","Aves","Ardeidae","Ardea alba","","1","Binoculares, catalejo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Jara, Cuevas, Zamorano, Rudolph",2012,"10",18,"Mehuín","Mehuín","San José de la Mariquina","San José de la Mariquina","Valdivia","Región de Los Ríos","39°26'21""S","73°11'57""O","0","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-10-18,"0","0"
"194",194,"Animalia","Aves","Ardeidae","Ardea alba","","1","Binoculares, catalejo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros, Möller",2012,"3",15,"Humedal Angachilla","Sur-Este de Valdivia","Valdivia","Valdivia","Valdivia","Región de Los Ríos","39°51'17""S","73°14'00""O","2","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-03-15,"2","2"
"195",195,"Animalia","Aves","Ardeidae","Ardea alba","","1","Binoculares, catalejo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Barros, Diez",2011,"12",17,"Las Ánimas","Norte de Valdivia","Valdivia","Valdivia","Valdivia","Región de Los Ríos","39°47'18""S","73°15'03""O","10","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2011-12-17,"10","10"
"196",196,"Animalia","Aves","Ardeidae","Ardea cocoi","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",23,"Río Elqui","Desembocadura, Río Elqui","La Serena","La Serena","Elqui","Coquimbo","29°53'36""S","71°16'22""W","3","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-23,"3","3"
"197",197,"Animalia","Aves","Ardeidae","Ardea cocoi","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",25,"Río La Ligua","Desembocadura, río La Ligua, salinas de Puyalli","Papudo","Papudo","Petorca","Valparaíso","33°24'36""S","71°24'39""W","6","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-25,"6","6"
"198",198,"Animalia","Aves","Ardeidae","Ardea cocoi","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"12",23,"Río Maipo, sector San Juan.","Río Maipo, sector San Juan.","San Antonio","San Antonio","San Antonio","Metropolitana","33°38'37""S","71°35'22""W","9","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-23,"9","9"
"199",199,"Animalia","Aves","Ardeidae","Ardea cocoi","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"11",18,"Río Mapocho (Talagante).","Río Mapocho (Talagante).","Talagante","Talagante","Talagante","Metropolitana","33°39'36""S","70°56'02""W","300","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-18,"300","300"
"200",200,"Animalia","Aves","Ardeidae","Ardea cocoi","","3","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",3,"Llallauquén.","Llallauquén.","Las Cabras","Las Cabras","Cachapoal","O'Higgins.","34°14'04""S","71°26'10""W","112","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-03,"112","112"
"201",201,"Animalia","Aves","Ardeidae","Ardea cocoi","","6","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",4,"Embalse Convento Viejo.","Embalse Convento Viejo.","Chimbarongo","Chimbarongo","Colchagua","O'Higgins.","34°45'15""S","71°07'08""W","275","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-04,"275","275"
"202",202,"Animalia","Aves","Ardeidae","Ardea cocoi","","3","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",4,"Sector Compuertas","Canalón desagüe Embalse Convento Viejo.","Chimbarongo","Chimbarongo","Colchagua","O'Higgins.","34°45'29""S","71°07'55""W","255","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-04,"255","255"
"203",203,"Animalia","Aves","Ardeidae","Ardea cocoi","","2","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",4,"Lotoro.","Lotoro.","Chimbarongo","Chimbarongo","Colchagua","O'Higgins.","34°45'59""S","71°08'26""W","247","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-04,"247","247"
"204",204,"Animalia","Aves","Ardeidae","Ardea cocoi","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",5,"Fundo la Peña,  Botalcura.","Fundo la Peña,  Botalcura.","Pencahue","Pencahue","Talca","Del Maule","35°15'19""S","72°46'07""W","73","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-05,"73","73"
"205",205,"Animalia","Aves","Ardeidae","Ardea cocoi","","3","Binoculares, catalejo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros, Möller",2012,"3",15,"Humedal Angachilla","Sur-Este de Valdivia","Valdivia","Valdivia","Valdivia","Región de Los Ríos","39°51'17""S","73°14'00""O","2","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-03-15,"2","2"
"206",206,"Animalia","Aves","Ardeidae","Bubulcus ibis","","10","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",22,"Río Choapa.","Desembocadura Río Choapa.","Canela","Canela","Choapa","Coquimbo","33°37'14""S","71°33'33""W","7","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-22,"7","7"
"207",207,"Animalia","Aves","Ardeidae","Bubulcus ibis","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"11",18,"Río Mapocho (Talagante).","Río Mapocho (Talagante).","Talagante","Talagante","Talagante","Metropolitana","33°39'36""S","70°56'02""W","300","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-18,"300","300"
"208",208,"Animalia","Aves","Ardeidae","Bubulcus ibis","","2","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"12",18,"El Monte, Río Mapocho.","El Monte, Río Mapocho.","El Monte","El Monte","Talagante","Metropolitana","33°41'00""S","71°00'00""W","289","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-18,"289","289"
"209",209,"Animalia","Aves","Ardeidae","Bubulcus ibis","","20","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"11",4,"La Manreza","La Manreza","Melipilla","Melipilla","Melipilla","Metropolitana","33°42'58""S","71°00'23""W","267","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-04,"267","267"
"210",210,"Animalia","Aves","Ardeidae","Bubulcus ibis","","3","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",4,"Río Teno","Río Teno","Teno","Teno","Curicó","Del Maule","34°54'15""S","71°09'34""W","295","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-04,"295","295"
"211",211,"Animalia","Aves","Ardeidae","Bubulcus ibis","","2","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",4,"Humedal de Putú.","Putú","Putú","Constitución","Talca","Del Maule","35°09'19""S","72°14'48""W","9","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-04,"9","9"
"212",212,"Animalia","Aves","Ardeidae","Bubulcus ibis","","4","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",6,"Humedal Ciénagas del Name.","Humedal Ciénagas del Name.","Cauquenes","Cauquenes","Talca","Del Maule","35°45'5.5""S","71°12'42""W","-","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-06,"-","-"
"213",213,"Animalia","Aves","Ardeidae","Bubulcus ibis","","1","catalejo y binoculares","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros",2012,"12",6,"Carampangue viejo","Potreros de vegas junto a la carretera Lota Concepción.","Carampangue viejo","Arauco","Arauco","Del Biobío","37°07'04""S","73°05'09""W","9","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-06,"9","9"
"214",214,"Animalia","Aves","Ardeidae","Egretta thula","","5","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",23,"Río Elqui","Desembocadura, Río Elqui","La Serena","La Serena","Elqui","Coquimbo","29°53'36""S","71°16'22""W","3","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-23,"3","3"
"215",215,"Animalia","Aves","Ardeidae","Egretta thula","","2","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",23,"Estero El Culebrón o Humedales de Playa Changa","Humedales de Playa Changa","Coquimbo","Coquimbo","Elqui","Coquimbo","29°57'38""S","71°19'17""W","87","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-23,"87","87"
"216",216,"Animalia","Aves","Ardeidae","Egretta thula","","2","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",24,"Río Limarí.","Desembocadura Río Limarí.","Ovalle","Ovalle","Limarí","Coquimbo","30°43'51""S","71°42'01""W","0","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-24,"0","0"
"217",217,"Animalia","Aves","Ardeidae","Egretta thula","","4","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",22,"Laguna Conchalí, Punta Chungo.","Laguna Conchalí, Punta Chungo.","Los Vilos","Los Vilos","Choapa","Coquimbo","31°52'41""S","71°29'48""W","4","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-22,"4","4"
"218",218,"Animalia","Aves","Ardeidae","Egretta thula","","2","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"12",18,"Tunquén","Tunquén","Casablaca","Casablanca","Valparaíso","Valparaíso","33°16'25""S","71°40'19""W","53","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-18,"53","53"
"219",219,"Animalia","Aves","Ardeidae","Egretta thula","","6","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",25,"Río La Ligua","Desembocadura, río La Ligua, salinas de Puyalli","Papudo","Papudo","Petorca","Valparaíso","33°24'36""S","71°24'39""W","6","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-25,"6","6"
"220",220,"Animalia","Aves","Ardeidae","Egretta thula","","4","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",22,"Río Choapa.","Desembocadura Río Choapa.","Canela","Canela","Choapa","Coquimbo","33°37'14""S","71°33'33""W","7","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-22,"7","7"
"221",221,"Animalia","Aves","Ardeidae","Egretta thula","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"12",23,"Río Maipo","Desembocadura río Maipo","San Antonio","San Antonio","San Antonio","Valparaíso","33°37'17""S","71°37'47""W","0","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-23,"0","0"
"222",222,"Animalia","Aves","Ardeidae","Egretta thula","","2","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"12",23,"Río Maipo, sector San Juan.","Río Maipo, sector San Juan.","San Antonio","San Antonio","San Antonio","Metropolitana","33°38'37""S","71°35'22""W","9","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-23,"9","9"
"223",223,"Animalia","Aves","Ardeidae","Egretta thula","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"12",18,"El Monte, Río Mapocho.","El Monte, Río Mapocho.","El Monte","El Monte","Talagante","Metropolitana","33°41'00""S","71°00'00""W","289","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-18,"289","289"
"224",224,"Animalia","Aves","Ardeidae","Egretta thula","","3","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"12",18,"Río Maipo, Huechún Bajo","Río Maipo, Huechún Bajo","Melipilla","Melipilla","Melipilla","Metropolitana","33°41'25""S","71°09'35""W","187","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-18,"187","187"
"225",225,"Animalia","Aves","Ardeidae","Egretta thula","","20","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"11",4,"La Manreza","La Manreza","Melipilla","Melipilla","Melipilla","Metropolitana","33°42'58""S","71°00'23""W","267","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-04,"267","267"
"226",226,"Animalia","Aves","Ardeidae","Egretta thula","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"12",9,"Fundo  La Libertad.","Río Maipo, Fundo La Libertad, Huechún","Melipilla","Melipilla","Melipilla","Metropolitana","33°43'24""S","71°17'30""W","116","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-09,"116","116"
"227",227,"Animalia","Aves","Ardeidae","Egretta thula","","2","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"11",18,"Isla de Maipo.","Isla de Maipo.","Talagante","Talagante","Talagante","Metropolitana","33°43'35""S","70°55'03""W","327","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-18,"327","327"
"228",228,"Animalia","Aves","Ardeidae","Egretta thula","","4","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",3,"Llallauquén.","Llallauquén.","Las Cabras","Las Cabras","Cachapoal","O'Higgins.","34°14'04""S","71°26'10""W","112","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-03,"112","112"
"229",229,"Animalia","Aves","Ardeidae","Egretta thula","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",4,"Sector Pataguilla.","Sector Pataguilla.","Santa Cruz","Santa Cruz","Colchagua","O'Higgins.","34°41'18""S","71°23'57""W","171","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-04,"171","171"
"230",230,"Animalia","Aves","Ardeidae","Egretta thula","","4","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",4,"Embalse Convento Viejo.","Embalse Convento Viejo.","Chimbarongo","Chimbarongo","Colchagua","O'Higgins.","34°45'15""S","71°07'08""W","275","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-04,"275","275"
"231",231,"Animalia","Aves","Ardeidae","Egretta thula","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",4,"Sector Compuertas","Canalón desagüe Embalse Convento Viejo.","Chimbarongo","Chimbarongo","Colchagua","O'Higgins.","34°45'29""S","71°07'55""W","255","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-04,"255","255"
"232",232,"Animalia","Aves","Ardeidae","Egretta thula","","3","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",4,"Río Teno","Río Teno","Teno","Teno","Curicó","Del Maule","34°54'15""S","71°09'34""W","295","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-04,"295","295"
"233",233,"Animalia","Aves","Ardeidae","Egretta thula","","6","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",4,"Humedal de Putú.","Putú","Putú","Constitución","Talca","Del Maule","35°09'19""S","72°14'48""W","9","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-04,"9","9"
"234",234,"Animalia","Aves","Ardeidae","Egretta thula","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",6,"Humedal Ciénagas del Name.","Humedal Ciénagas del Name.","Cauquenes","Cauquenes","Talca","Del Maule","35°45'5.5""S","71°12'42""W","-","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-06,"-","-"
"235",235,"Animalia","Aves","Ardeidae","Egretta thula","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",7,"Chillán.","Chillán.","Chillán.","Chillán.","Ñuble","Del Biobío","36°35'39""S","71°08'42""W","-","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-07,"-","-"
"236",236,"Animalia","Aves","Ardeidae","Egretta thula","","1","Binoculares, catalejo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros, Möller",2012,"3",15,"Humedal Angachilla","Sur-Este de Valdivia","Valdivia","Valdivia","Valdivia","Región de Los Ríos","39°51'17""S","73°14'00""O","2","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-03-15,"2","2"
"237",237,"Animalia","Aves","Ardeidae","Ixobrinchus involucris","","3","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",23,"Río Elqui","Desembocadura, Río Elqui","La Serena","La Serena","Elqui","Coquimbo","29°53'36""S","71°16'22""W","3","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-23,"3","3"
"238",238,"Animalia","Aves","Ardeidae","Ixobrinchus involucris","","2","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",22,"Laguna Conchalí, Punta Chungo.","Laguna Conchalí, Punta Chungo.","Los Vilos","Los Vilos","Choapa","Coquimbo","31°52'41""S","71°29'48""W","4","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-22,"4","4"
"239",239,"Animalia","Aves","Ardeidae","Ixobrychus involucris","","5","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"12",18,"Tunquén","Tunquén","Casablaca","Casablanca","Valparaíso","Valparaíso","33°16'25""S","71°40'19""W","53","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-18,"53","53"
"240",240,"Animalia","Aves","Ardeidae","Ixobrychus involucris","","1","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","F. Díaz, M. Daigre",2012,"12",3,"Llallauquén.","Llallauquén.","Las Cabras","Las Cabras","Cachapoal","O'Higgins.","34°14'04""S","71°26'10""W","112","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-03,"112","112"
"241",241,"Animalia","Aves","Ardeidae","Ixobrychus involucris","","1","avistamiento","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros",2012,"12",5,"Estanque en ex fundo Saboya.","Saboya","Los Sauces","Los Sauces","Malleco","De la Araucanía","38°01'04""S","72°48'44""W","150","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-05,"150","150"
"242",242,"Animalia","Aves","Ardeidae","Nycticorax nycticorax","","5","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros, Nuñez",2013,"1",17,"Desembocadura del río Lluta","Desembocadura del río Lluta","Arica","Arica","Arica","Arica y Parinacota","18°24'52""S","70°19'26""W","0","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2013-01-17,"0","0"
"243",243,"Animalia","Aves","Ardeidae","Nycticorax nycticorax","","2","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Norambuena, Muñoz-Pedreros, Nuñez",2013,"1",18,"Playa La Lisera, roquerios en el sector sur.","Playa La Lisera, roquerios en el sector sur.","Arica","Arica","Arica","Arica y Parinacota","18°29'42""S","70°19'34""W","0","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2013-01-18,"0","0"
"244",244,"Animalia","Aves","Ardeidae","Nycticorax nycticorax","","3","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",23,"Estero El Culebrón o Humedales de Playa Changa","Humedales de Playa Changa","Coquimbo","Coquimbo","Elqui","Coquimbo","29°57'38""S","71°19'17""W","87","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-23,"87","87"
"245",245,"Animalia","Aves","Ardeidae","Nycticorax nycticorax","","4","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","R. Barros",2012,"12",18,"Tunquén","Tunquén","Casablaca","Casablanca","Valparaíso","Valparaíso","33°16'25""S","71°40'19""W","53","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-12-18,"53","53"
"246",246,"Animalia","Aves","Ardeidae","Nycticorax nycticorax","","2","Censo","Muñoz-Pedreros,  Norambuena et al.  (2013)","CEA","Schmitt",2012,"11",22,"Río Choapa.","Desembocadura Río Choapa.","Canela","Canela","Choapa","Coquimbo","33°37'14""S","71°33'33""W","7","Dato vigente","present","CEA (2012) Programa concursable MMA 2012: Levantamiento información especies (no objetivo consultoría)","individuals",2012-11-22,"7","7"
