,Unnamed: 0,decimalLongitude,decimalLatitude,verbatimSRS,geodeticDatum,continent,country,countryCode,stateProvince,county,municipality,verbatimCoordinates,verbatimCoordinateSystem,dynamicProperties,coordinateUncertaintyInMeters,coordinatePrecision,georeferencedDate,georeferenceProtocol 
27,28,-70.04231,-18.578724,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5787240313785 -70.0423099945592,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:06.624Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
28,29,-70.026254,-18.5813786,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5813785909622 -70.0262539716089,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:07.206Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
29,30,-70.2624129,-18.4965124,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.4965123928963 -70.262412875785,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:07.805Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
30,31,-70.0013293,-18.5843954,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.5843954144829 -70.0013292914005,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:08.393Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
31,32,-70.1707686,-18.8021832,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.8021832324178 -70.1707686273177,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:09.051Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
32,33,-69.7651616,-18.8331788,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.833178847502 -69.7651616054549,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:09.770Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
33,34,-69.7610818,-18.8334757,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Camarones,-18.8334757046865 -69.761081766135,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:10.466Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
34,35,-69.7542504,-18.8318497,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Camarones,-18.8318496619336 -69.7542503835977,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:11.139Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
35,36,-70.1579593,-18.8063657,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Arica,-18.806365672161 -70.15795933215,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:11.854Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
36,37,-69.7214355,-18.8219572,unknown,datum not recorded,,Chile,CL,Arica y Parinacota,Arica,Camarones,-18.8219572068647 -69.7214354786485,decimal degrees,"{'textFieldMeasurementError': 30, 'ChoiceDistUnits': 'm', 'ChoiceCoordSource': 'GPS', 'TextFieldExtent': 10}",2718,0.0000001,2022-11-29T07:49:12.532Z,"Georeferencing Quick Reference Guide (Zermoglio et al. 2020, https://doi.org/10.35035/e09p-h128)"
