"","ID","kingdom","class","family","acceptedNameUsage","infraspecificEpithet","vernacularName","establishmentMeans","CATEGORÍA.DE.CONSERVACIÓN","basisOfRecord","institution","recordedBy","year","month","day","locality","locationRemarks","county","stateProvince","municipality","PRECISIÓN.DATO","verbatimLongitude","verbatimLatitude","verbatimElevation","verbatimCoordinateSystem","verbatimSRS","HUSO","occurrenceRemarks","datasetName","dynamicProperties"
"68",1530,"Animalia","Aves","Columbidae","Zenaida meloda","","Paloma de alas blancas","Nativa","LC","Publicación","Aves de Chile (UNORCH)","","2009",10,NA,"Valle de Chaca","Desierto interior-matorral ripario de las quebradas y oasis","Arica","Arica y Parinacota","Arica","Publicado","70° 10'O","18° 48'S",290,"","WGS84","19k","Coordenadas corresponden a punto de muestreo indicado por la fuente","Estudio de Línea Base, Zonificación y Guía de Manejo de un Predio Fiscal, Sitio Prioritario para la Conservación de la Biodiversidad en la Quebrada de Chaca, Región de Arica y Parinacota","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"69",1743,"Animalia","Aves","Emberizidae","Zonotrichia capensis","","Chincol","Nativa","LC","Publicación","Aves de Chile (UNORCH)","","2009",10,NA,"Valle de Chaca","Desierto interior-matorral ripario de las quebradas y oasis","Arica","Arica y Parinacota","Arica","Publicado","70° 10'O","18° 48'S",290,"","WGS84","19k","Coordenadas corresponden a punto de muestreo indicado por la fuente","Estudio de Línea Base, Zonificación y Guía de Manejo de un Predio Fiscal, Sitio Prioritario para la Conservación de la Biodiversidad en la Quebrada de Chaca, Región de Arica y Parinacota","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"70",2008,"Animalia","Aves","Falconidae","Falco sparverius","","Cernícalo","Nativa","LC","Publicación","Aves de Chile (UNORCH)","","2009",10,NA,"Valle de Chaca","Desierto interior-matorral ripario de las quebradas y oasis","Arica","Arica y Parinacota","Arica","Publicado","70° 10'O","18° 48'S",290,"","WGS84","19k","Coordenadas corresponden a punto de muestreo indicado por la fuente","Estudio de Línea Base, Zonificación y Guía de Manejo de un Predio Fiscal, Sitio Prioritario para la Conservación de la Biodiversidad en la Quebrada de Chaca, Región de Arica y Parinacota","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"71",2113,"Animalia","Aves","Falconidae","Phalcoboenus megalopterus","","Carancho cordillerano","Nativa","LC","Publicación","CEA","CEA- Quiborax","1996",NA,NA,"Surire","Salar","Parinacota","Arica y Parinacota","Putre","Publicado","69°09'O","18°50'S",4400,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"72",2127,"Animalia","Aves","Fringillidae","Spinus atrata","","Jilguero negro","Nativa","LC","Publicación","CEA","CEA- Quiborax","1996",NA,NA,"Surire","Salar","Parinacota","Arica y Parinacota","Putre","Publicado","69°09'O","18°50'S",4400,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"73",2154,"Animalia","Aves","Fringillidae","Spinus magellanica","","Jilguero peruano","Nativa","LC","Publicación","Aves de Chile (UNORCH)","","2009",10,NA,"Valle de Chaca","Desierto interior-matorral ripario de las quebradas y oasis","Arica","Arica y Parinacota","Arica","Publicado","70° 10'O","18° 48'S",290,"","WGS84","19k","Coordenadas corresponden a punto de muestreo indicado por la fuente","Estudio de Línea Base, Zonificación y Guía de Manejo de un Predio Fiscal, Sitio Prioritario para la Conservación de la Biodiversidad en la Quebrada de Chaca, Región de Arica y Parinacota","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"74",2236,"Animalia","Aves","Fringillidae","Spinus uropygialis","","Jilguero cordillerano","Nativa","LC","Publicación","","","2010",2,NA,"Quebrada de Allane","","Parinacota","Arica y Parinacota","Putre","Publicado","69°37'O","18° 3'S",3775,"","WGS84","19k","Coordenadas corresponden a punto de muestreo indicado por la fuente","Estudio de Línea Base Fauna. Sector: Faena Sectores: Camino nuevo de acceso – Trazado acueducto. Prospección fauna de vertebrados terrestres. Proyecto Los Pumas","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"75",2324,"Animalia","Aves","Furnariidae","Asthenes pudibunda","","Canastero de las quebradas","Nativa","LC","Publicación","","MARIN M & RW MCFARLANE","2002",10,18,"Murmuntani","","Parinacota","Arica y Parinacota","Putre","Publicado","69°33' W","18°21' S",3300,"","WGS84","19k","Coordenadas mencionadas por la fuente del registro","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"76",2388,"Animalia","Aves","Furnariidae","Geositta punensis","","Minero de la puna","Nativa","LC","Publicación","","","2010",2,NA,"Quebrada de Allane","","Parinacota","Arica y Parinacota","Putre","Publicado","69°37'O","18° 3'S",3775,"","WGS84","19k","Coordenadas corresponden a punto de muestreo indicado por la fuente","Estudio de Línea Base Fauna. Sector: Faena Sectores: Camino nuevo de acceso – Trazado acueducto. Prospección fauna de vertebrados terrestres. Proyecto Los Pumas","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
"77",2424,"Animalia","Aves","Furnariidae","Geositta punensis","","Minero de la puna","Nativa","LC","Publicación","CEA","CEA- Quiborax","1996",NA,NA,"Surire","Salar","Parinacota","Arica y Parinacota","Putre","Publicado","69°09'O","18°50'S",4400,"","WGS84","19k","","","iucnStatus:IUCN (Red List of Threatened Species 2013),iucnStatusRemarks:"
