occurrenceID,verbatimCoordinates,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,continent,verbatimCoordinateSystem,country,georeferenceSources,locality,countryCode,stateProvince,county
PBUCH:SQF:3824,,,,-25.0167 ,-70.2667,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Taltal, Provincia de Antofagasta, Región de Antofagasta, Chile,CL,Región de Antofagasta,Provincia de Antofagasta
PBUCH:SQF:3825,,,,-33.59401,-70.74269,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,San Bernardo, Provincia de Maipo, Región Metropolitana de Santiago, Chile,CL,Región Metropolitana de Santiago,Provincia de Maipo
PBUCH:SQF:3826,,,,-33.425278,-70.633333,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Santuario Inmaculada Concepción, Monseñor Mariano Casanova, Providencia, Provincia de Santiago, Región Metropolitana de Santiago, 7500000, Chile,CL,Región Metropolitana de Santiago,Provincia de Santiago
PBUCH:SQF:3827,,,,-33.58815,-70.46746,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Los Acacios, Las Vertientes, La Obra - Las Vertientes, San José de Maipo, Provincia de Cordillera, Región Metropolitana de Santiago, Chile,CL,Región Metropolitana de Santiago,Provincia de Cordillera
PBUCH:SQF:3828,,,,-33.48619,70.52485,,,,,,,,
PBUCH:SQF:3829,,,,-39.884176,-73.43045,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Amargos, Corral, Provincia de Valdivia, Región de Los Ríos, Chile,CL,Región de Los Ríos,Provincia de Valdivia
PBUCH:SQF:3830,,,,-39.813056,-72.038333,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Punahue, Panguipulli, Provincia de Valdivia, Región de Los Ríos, 5210000, Chile,CL,Región de Los Ríos,Provincia de Valdivia
PBUCH:SQF:3831,,,,-38.67306,-72.66326,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Comunidad Antonio Antil, Temuco, Provincia de Cautín, Región de la Araucanía, 485000, Chile,CL,Región de la Araucanía,Provincia de Cautín
PBUCH:SQF:3832,,,,-45.4,-72.7,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Aysén, Camino Aguas Muertas, Lomas de Aysén, San Pedro, Aysén, Provincia de Aysén, Región Aysén del General Carlos Ibáñez del Campo, 441, Chile,CL,Región Aysén del General Carlos Ibáñez del Campo,Provincia de Aysén
PBUCH:SQF:3833,,,, -39.89,-73.4337,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Boldo, Amargos, Corral, Provincia de Valdivia, Región de Los Ríos, Chile,CL,Región de Los Ríos,Provincia de Valdivia
PBUCH:SQF:3837,,,, -44.85,-75.0167,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Cisnes, Provincia de Aysén, Región Aysén del General Carlos Ibáñez del Campo, Chile,CL,Región Aysén del General Carlos Ibáñez del Campo,Provincia de Aysén
PBUCH:SQF:3837H1,,,,,,,,,,,,,
PBUCH:SQF:3838,,,,-33.425278,-70.633333,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Santuario Inmaculada Concepción, Monseñor Mariano Casanova, Providencia, Provincia de Santiago, Región Metropolitana de Santiago, 7500000, Chile,CL,Región Metropolitana de Santiago,Provincia de Santiago
PBUCH:SQF:3839,,,,-33.425278,-70.633333,South America,,Chile,GeoParser Marcelo Oyaneder | GeoPy,Santuario Inmaculada Concepción, Monseñor Mariano Casanova, Providencia, Provincia de Santiago, Región Metropolitana de Santiago, 7500000, Chile,CL,Región Metropolitana de Santiago,Provincia de Santiago
