"","decimalLongitude","decimalLatitude","verbatimSRS","geodeticDatum","continent","country","countryCode","stateProvince","county","municipality","verbatimCoordinates"
"89",-70.2294922155068,-18.5099856505928,"unknown","unknown","","","","","","","-18.5099856505928 -70.2294922155068"
"90",-70.2481566320198,-18.5119146773099,"unknown","unknown","","","","","","","-18.5119146773099 -70.2481566320198"
"91",-70.2681065398906,-18.5108602546392,"unknown","unknown","","","","","","","-18.5108602546392 -70.2681065398906"
"92",-70.1820558079044,-18.5251532663908,"unknown","unknown","","","","","","","-18.5251532663908 -70.1820558079044"
"93",-70.1757124408598,-18.5326028515426,"unknown","unknown","","","","","","","-18.5326028515426 -70.1757124408598"
"94",-70.2542381583097,-18.5002716789228,"unknown","unknown","","","","","","","-18.5002716789228 -70.2542381583097"
"95",-70.2798985278563,-18.4942081537914,"unknown","unknown","","","","","","","-18.4942081537914 -70.2798985278563"
"96",-70.299745408753,-18.4596987520074,"unknown","unknown","","","","","","","-18.4596987520074 -70.299745408753"
"97",-70.3275166129698,-18.490265686834,"unknown","unknown","","","","","","","-18.490265686834 -70.3275166129698"
"98",-70.2358224295081,-18.5077485346404,"unknown","unknown","","","","","","","-18.5077485346404 -70.2358224295081"
"99",-70.2632122296179,-18.5047753668332,"unknown","unknown","","","","","","","-18.5047753668332 -70.2632122296179"
"100",-70.2599975877977,-18.4952001348976,"unknown","unknown","","","","","","","-18.4952001348976 -70.2599975877977"
"101",-70.2367603557083,-18.5051399015953,"unknown","unknown","","","","","","","-18.5051399015953 -70.2367603557083"
"102",-70.2149741042662,-18.5049828629372,"unknown","unknown","","","","","","","-18.5049828629372 -70.2149741042662"
"103",-70.0082541686197,-18.5855604195898,"unknown","unknown","","","","","","","-18.5855604195898 -70.0082541686197"
"104",-70.0161697177061,-18.585969761305,"unknown","unknown","","","","","","","-18.585969761305 -70.0161697177061"
"105",-70.0736418012942,-18.5761986569617,"unknown","unknown","","","","","","","-18.5761986569617 -70.0736418012942"
"106",-70.2640988999863,-18.491368461152,"unknown","unknown","","","","","","","-18.491368461152 -70.2640988999863"
"107",-70.2280150842054,-18.5047450443694,"unknown","unknown","","","","","","","-18.5047450443694 -70.2280150842054"
"108",-70.0181028126703,-18.5779616335886,"unknown","unknown","","","","","","","-18.5779616335886 -70.0181028126703"
"109",-69.8878721402231,-18.582578115523,"unknown","unknown","","","","","","","-18.582578115523 -69.8878721402231"
"110",-70.1665625334746,-18.5286292248198,"unknown","unknown","","","","","","","-18.5286292248198 -70.1665625334746"
"111",-70.1746614498116,-18.520202113135,"unknown","unknown","","","","","","","-18.520202113135 -70.1746614498116"
"112",-69.9759892765855,-18.577895127638,"unknown","unknown","","","","","","","-18.577895127638 -69.9759892765855"
"113",-70.1447642469252,-18.8181402274559,"unknown","unknown","","","","","","","-18.8181402274559 -70.1447642469252"
"114",-70.1477871982846,-18.8175252445629,"unknown","unknown","","","","","","","-18.8175252445629 -70.1477871982846"
"115",-69.7708082812549,-18.8351437646352,"unknown","unknown","","","","","","","-18.8351437646352 -69.7708082812549"
"116",-70.1546841524223,-18.8103077686935,"unknown","unknown","","","","","","","-18.8103077686935 -70.1546841524223"
"117",-69.7459314627215,-18.8329224198661,"unknown","unknown","","","","","","","-18.8329224198661 -69.7459314627215"
"118",-69.78103317035,-18.831658031106,"unknown","unknown","","","","","","","-18.831658031106 -69.78103317035"
"119",-69.7447683221317,-18.8295832916964,"unknown","unknown","","","","","","","-18.8295832916964 -69.7447683221317"
"120",-69.8226090281507,-19.0055503586352,"unknown","unknown","","","","","","","-19.0055503586352 -69.8226090281507"
"121",-69.8752537068558,-19.0076311906979,"unknown","unknown","","","","","","","-19.0076311906979 -69.8752537068558"
"122",-69.5535699013775,-19.3753489653542,"unknown","unknown","","","","","","","-19.3753489653542 -69.5535699013775"
"123",-69.547826868607,-19.3721943602145,"unknown","unknown","","","","","","","-19.3721943602145 -69.547826868607"
"124",-69.5113185018996,-19.3477378902213,"unknown","unknown","","","","","","","-19.3477378902213 -69.5113185018996"
"125",-69.4967819742485,-19.3420485975205,"unknown","unknown","","","","","","","-19.3420485975205 -69.4967819742485"
"126",-69.9066216254303,-18.5833745263944,"unknown","unknown","","","","","","","-18.5833745263944 -69.9066216254303"
"127",-70.1149216019387,-18.5575512950761,"unknown","unknown","","","","","","","-18.5575512950761 -70.1149216019387"
"128",-70.2530063151972,-18.5080059846666,"unknown","unknown","","","","","","","-18.5080059846666 -70.2530063151972"
"129",-70.1163397126729,-18.5541541359305,"unknown","unknown","","","","","","","-18.5541541359305 -70.1163397126729"
"130",-70.167197109869,-18.5341918718108,"unknown","unknown","","","","","","","-18.5341918718108 -70.167197109869"
"131",-70.1812562023907,-18.516311428975,"unknown","unknown","","","","","","","-18.516311428975 -70.1812562023907"
"132",-69.9908328025838,-18.5850473203459,"unknown","unknown","","","","","","","-18.5850473203459 -69.9908328025838"
"133",-69.9842761971482,-18.5770296843909,"unknown","unknown","","","","","","","-18.5770296843909 -69.9842761971482"
"134",-70.2879211450572,-18.4904940183891,"unknown","unknown","","","","","","","-18.4904940183891 -70.2879211450572"
"135",-70.235822364649,-18.5077394985933,"unknown","unknown","","","","","","","-18.5077394985933 -70.235822364649"
"136",-70.2367602908098,-18.5051308655489,"unknown","unknown","","","","","","","-18.5051308655489 -70.2367602908098"
"137",-70.0304322553026,-18.5859646278115,"unknown","unknown","","","","","","","-18.5859646278115 -70.0304322553026"
"138",-70.2688312267726,-18.4896560324124,"unknown","unknown","","","","","","","-18.4896560324124 -70.2688312267726"
"139",-70.2640893632373,-18.4913594884258,"unknown","unknown","","","","","","","-18.4913594884258 -70.2640893632373"
"140",-70.2204096540619,-18.5048032936999,"unknown","unknown","","","","","","","-18.5048032936999 -70.2204096540619"
"141",-70.0322219710175,-18.5810116447582,"unknown","unknown","","","","","","","-18.5810116447582 -70.0322219710175"
"142",-69.967639745109,-18.5794383105921,"unknown","unknown","","","","","","","-18.5794383105921 -69.967639745109"
"143",-70.0353863767617,-18.5777500432078,"unknown","unknown","","","","","","","-18.5777500432078 -70.0353863767617"
"144",-69.8276296976992,-18.5890066238005,"unknown","unknown","","","","","","","-18.5890066238005 -69.8276296976992"
"145",-69.8330676158499,-18.5885759870792,"unknown","unknown","","","","","","","-18.5885759870792 -69.8330676158499"
"146",-69.9136869839528,-18.5843254668316,"unknown","unknown","","","","","","","-18.5843254668316 -69.9136869839528"
"147",-69.9193442039974,-18.5859969472041,"unknown","unknown","","","","","","","-18.5859969472041 -69.9193442039974"
"148",-70.1236501684422,-18.5491857469425,"unknown","unknown","","","","","","","-18.5491857469425 -70.1236501684422"
"149",-70.1630338677934,-18.5363501919302,"unknown","unknown","","","","","","","-18.5363501919302 -70.1630338677934"
"150",-70.2069409803931,-18.5088928875506,"unknown","unknown","","","","","","","-18.5088928875506 -70.2069409803931"
"151",-69.8151516309933,-18.5897749550622,"unknown","unknown","","","","","","","-18.5897749550622 -69.8151516309933"
"152",-69.8019571381795,-18.5832975388717,"unknown","unknown","","","","","","","-18.5832975388717 -69.8019571381795"
"153",-70.0689739075358,-18.5752943815362,"unknown","unknown","","","","","","","-18.5752943815362 -70.0689739075358"
"154",-70.2162363393955,-18.5173999689221,"unknown","unknown","","","","","","","-18.5173999689221 -70.2162363393955"
"155",-70.2569445498873,-18.5064255938241,"unknown","unknown","","","","","","","-18.5064255938241 -70.2569445498873"
"156",-70.0845154049093,-18.5739133834855,"unknown","unknown","","","","","","","-18.5739133834855 -70.0845154049093"
"157",-70.0497332227488,-18.5823518216568,"unknown","unknown","","","","","","","-18.5823518216568 -70.0497332227488"
"158",-70.1820557458041,-18.5251442301803,"unknown","unknown","","","","","","","-18.5251442301803 -70.1820557458041"
"159",-70.196573275234,-18.5203990539562,"unknown","unknown","","","","","","","-18.5203990539562 -70.196573275234"
"160",-70.2455403838296,-18.503790089085,"unknown","unknown","","","","","","","-18.503790089085 -70.2455403838296"
"161",-70.2542380925127,-18.500262642932,"unknown","unknown","","","","","","","-18.500262642932 -70.2542380925127"
"162",-70.2997453407294,-18.4596897161388,"unknown","unknown","","","","","","","-18.4596897161388 -70.2997453407294"
"163",-70.3157652997087,-18.4743716033997,"unknown","unknown","","","","","","","-18.4743716033997 -70.3157652997087"
"164",-70.2599881171026,-18.4952001979438,"unknown","unknown","","","","","","","-18.4952001979438 -70.2599881171026"
"165",-70.2648173562256,-18.4937673458745,"unknown","unknown","","","","","","","-18.4937673458745 -70.2648173562256"
"166",-70.0082446921154,-18.5855604702783,"unknown","unknown","","","","","","","-18.5855604702783 -70.0082446921154"
"167",-70.0161696641318,-18.5859607246479,"unknown","unknown","","","","","","","-18.5859607246479 -70.0161696641318"
"168",-70.0387563548474,-18.5865424845943,"unknown","unknown","","","","","","","-18.5865424845943 -70.0387563548474"
"169",-70.0736323255048,-18.576198710911,"unknown","unknown","","","","","","","-18.576198710911 -70.0736323255048"
"170",-70.036579558586,-18.576044549108,"unknown","unknown","","","","","","","-18.576044549108 -70.036579558586"
"171",-70.0181027590189,-18.5779525969294,"unknown","unknown","","","","","","","-18.5779525969294 -70.0181027590189"
"172",-69.9434089873717,-18.583040390899,"unknown","unknown","","","","","","","-18.583040390899 -69.9434089873717"
"173",-70.155476404907,-18.5325017664326,"unknown","unknown","","","","","","","-18.5325017664326 -70.155476404907"
"174",-69.9740281322202,-18.5746428939205,"unknown","unknown","","","","","","","-18.5746428939205 -69.9740281322202"
"175",-70.0200659026076,-18.5861746401609,"unknown","unknown","","","","","","","-18.5861746401609 -70.0200659026076"
"176",-70.1477776479771,-18.8175162669182,"unknown","unknown","","","","","","","-18.8175162669182 -70.1477776479771"
"177",-70.1546746021997,-18.810298791393,"unknown","unknown","","","","","","","-18.810298791393 -70.1546746021997"
"178",-70.1097574852086,-18.8398044665966,"unknown","unknown","","","","","","","-18.8398044665966 -70.1097574852086"
"179",-69.7403125569582,-18.8285527183813,"unknown","unknown","","","","","","","-18.8285527183813 -69.7403125569582"
"180",-69.8454232080643,-19.0004952598155,"unknown","unknown","","","","","","","-19.0004952598155 -69.8454232080643"
"181",-70.1685625088896,-19.1461968616206,"unknown","unknown","","","","","","","-19.1461968616206 -70.1685625088896"
"182",-70.1595434485512,-19.139964870669,"unknown","unknown","","","","","","","-19.139964870669 -70.1595434485512"
"183",-70.1509911238467,-19.1310186463805,"unknown","unknown","","","","","","","-19.1310186463805 -70.1509911238467"
"184",-69.4294502193461,-19.3120446102981,"unknown","unknown","","","","","","","-19.3120446102981 -69.4294502193461"
"185",-69.4630847877641,-19.3271447494315,"unknown","unknown","","","","","","","-19.3271447494315 -69.4630847877641"
"186",-69.4781792197484,-19.3356458653495,"unknown","unknown","","","","","","","-19.3356458653495 -69.4781792197484"
"187",-69.5147076688183,-19.3506925015753,"unknown","unknown","","","","","","","-19.3506925015753 -69.5147076688183"
"188",-70.0306335783913,-18.5768904621227,"unknown","unknown","","","","","","","-18.5768904621227 -70.0306335783913"
"189",-69.9659217886129,-18.5789591178593,"unknown","unknown","","","","","","","-18.5789591178593 -69.9659217886129"
"190",-70.2481470948408,-18.5119057038173,"unknown","unknown","","","","","","","-18.5119057038173 -70.2481470948408"
"191",-70.2499752199076,-18.5066886463199,"unknown","unknown","","","","","","","-18.5066886463199 -70.2499752199076"
"192",-70.2632121633329,-18.5047663308779,"unknown","unknown","","","","","","","-18.5047663308779 -70.2632121633329"
"193",-70.1335279723684,-18.5471295920815,"unknown","unknown","","","","","","","-18.5471295920815 -70.1335279723684"
"194",-70.1325016204107,-18.5509673128891,"unknown","unknown","","","","","","","-18.5509673128891 -70.1325016204107"
"195",-70.2294826793537,-18.5099766760936,"unknown","unknown","","","","","","","-18.5099766760936 -70.2294826793537"
"196",-70.2149645691172,-18.5049738876413,"unknown","unknown","","","","","","","-18.5049738876413 -70.2149645691172"
"197",-69.9878716981651,-18.584294715794,"unknown","unknown","","","","","","","-18.584294715794 -69.9878716981651"
"198",-69.7700227087856,-18.8356259833024,"unknown","unknown","","","","","","","-18.8356259833024 -69.7700227087856"
"199",-69.756857237257,-18.8332579390763,"unknown","unknown","","","","","","","-18.8332579390763 -69.756857237257"
"200",-70.1477871369619,-18.8175162085229,"unknown","unknown","","","","","","","-18.8175162085229 -70.1477871369619"
"201",-69.7393690225727,-18.8276527374178,"unknown","unknown","","","","","","","-18.8276527374178 -69.7393690225727"
"202",-70.2975791931829,-18.7786100010894,"unknown","unknown","","","","","","","-18.7786100010894 -70.2975791931829"
"203",-70.1489910757986,-18.5359391040374,"unknown","unknown","","","","","","","-18.5359391040374 -70.1489910757986"
"204",-70.273619002452,-18.4016994968846,"unknown","unknown","","","","","","","-18.4016994968846 -70.273619002452"
"205",-70.2737154094278,-18.7792802382899,"unknown","unknown","","","","","","","-18.7792802382899 -70.2737154094278"
"206",-70.3140139976918,-18.7631790966995,"unknown","unknown","","","","","","","-18.7631790966995 -70.3140139976918"
"207",-69.9451176033806,-18.3813668024458,"unknown","unknown","","","","","","","-18.3813668024458 -69.9451176033806"
"208",-69.9618504443472,-18.5812843830592,"unknown","unknown","","","","","","","-18.5812843830592 -69.9618504443472"
"209",-69.9838341109888,-18.5809088745774,"unknown","unknown","","","","","","","-18.5809088745774 -69.9838341109888"
"210",-69.9952167584911,-18.5843916363281,"unknown","unknown","","","","","","","-18.5843916363281 -69.9952167584911"
"211",-70.1902463616912,-18.5191557976087,"unknown","unknown","","","","","","","-18.5191557976087 -70.1902463616912"
"212",-69.7433239046088,-18.8313332448105,"unknown","unknown","","","","","","","-18.8313332448105 -69.7433239046088"
"213",-70.1757029678088,-18.5326029104867,"unknown","unknown","","","","","","","-18.5326029104867 -70.1757029678088"
"214",-69.7810331285866,-18.8316489941007,"unknown","unknown","","","","","","","-18.8316489941007 -69.7810331285866"
"215",-70.2095364880604,-18.5062195653268,"unknown","unknown","","","","","","","-18.5062195653268 -70.2095364880604"
"216",-69.7341174917575,-18.8247544535713,"unknown","unknown","","","","","","","-18.8247544535713 -69.7341174917575"
"217",-69.9441248692296,-18.5788074412638,"unknown","unknown","","","","","","","-18.5788074412638 -69.9441248692296"
"218",-70.1509463305741,-18.8146141249426,"unknown","unknown","","","","","","","-18.8146141249426 -70.1509463305741"
"219",-69.7447587915421,-18.8295742925284,"unknown","unknown","","","","","","","-18.8295742925284 -69.7447587915421"
"220",-70.200666236875,-18.5110021934686,"unknown","unknown","","","","","","","-18.5110021934686 -70.200666236875"
"221",-70.2280056128701,-18.5047451058462,"unknown","unknown","","","","","","","-18.5047451058462 -70.2280056128701"
"222",-70.230010019086,-18.5068918057901,"unknown","unknown","","","","","","","-18.5068918057901 -70.230010019086"
"223",-70.2646122083477,-18.5019466587521,"unknown","unknown","","","","","","","-18.5019466587521 -70.2646122083477"
"224",-69.7283875782884,-18.8231231032268,"unknown","unknown","","","","","","","-18.8231231032268 -69.7283875782884"
"225",-69.7147282854842,-18.8180879569578,"unknown","unknown","","","","","","","-18.8180879569578 -69.7147282854842"
"226",-70.0461707544733,-18.4234115998654,"unknown","unknown","","","","","","","-18.4234115998654 -70.0461707544733"
